symbol,method_of_action,cosmic_moa,intogen_moa,huang_et_al_moa,gene_id,dataset_name
LRP1B,LoF,TSG,LoF,,SIDG16764,Driver genes
LTB,Act,,Act,,SIDG16936,Driver genes
LY75-CD302,Act,,Act,,SIDG16983,Driver genes
LYL1,Act,"oncogene, fusion",,,SIDG16991,Driver genes
LZTR1,LoF,TSG,LoF,,SIDG17035,Driver genes
MAF,ambiguous,"oncogene, fusion",LoF,,SIDG17068,Driver genes
MAFB,Act,"oncogene, fusion",,,SIDG17072,Driver genes
MALT1,ambiguous,"oncogene, fusion",LoF,,SIDG17149,Driver genes
MAML2,ambiguous,"oncogene, fusion",LoF,,SIDG17154,Driver genes
MAP2,ambiguous,,ambiguous,,SIDG17190,Driver genes
MAP2K1,Act,oncogene,Act,,SIDG17191,Driver genes
MAP2K2,Act,oncogene,,,SIDG17193,Driver genes
